track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
73WpXYXqQFUuSkIul0VzSI,Bom Gosto;Pericles,Balanço por Você (Ao Vivo),Balanço por Você - Ao Vivo,45,208512,False,0.427,0.703,9,-7.007,1,0.0487,0.575,0.0,0.935,0.7,84.44,4,pagode
6PphhDw4Fa1U2TJkhejpdD,Akatu,Luau do Akatu,Eu Me Apaixonei pela Pessoa Errada,37,105389,False,0.652,0.701,2,-8.178,1,0.0348,0.532,1.67e-06,0.602,0.928,158.124,4,samba
1LL4f5D8E5sdURjuADBD8s,Carnifex,Hell Chose Me (Bonus Track Version),The Scope Of Obsession,17,175906,False,0.573,0.976,1,-4.004,0,0.179,4.57e-05,0.0222,0.272,0.315,114.02,4,black-metal
1EMSJMfd1lFvJtggclY05l,Ann Sweeten,Where Butterflies Dance,Migration,23,284373,False,0.281,0.141,4,-19.125,0,0.0334,0.978,0.883,0.103,0.206,135.356,3,new-age
3FqtPK5WMKBCLplivwZtn7,STU48,ヘタレたちよ Special Edition,ヘタレたちよ,25,289280,False,0.403,0.921,9,-2.756,1,0.11,0.0326,0.0,0.0985,0.574,177.824,4,j-idol
2KfeoUqgmA1aGDA79enC3B,Eshconinco,Dream Life,SHE Like IT,31,147879,True,0.757,0.819,9,-4.782,1,0.235,0.105,0.0,0.0608,0.818,189.978,4,dancehall
4hsRzEQg0t9qgtB4iXEGB5,Martin Jensen;Cheat Codes;Theresa Rex,Running,Running,59,185015,False,0.606,0.853,5,-4.601,0,0.0392,0.00673,1.19e-06,0.241,0.333,122.001,4,electronic
2mUCD9Bx2IOFFrVtEH3tyg,A Rocket To The Moon,Wild & Free (Deluxe),Somebody Out There,58,209226,False,0.405,0.409,7,-7.149,1,0.0305,0.343,0.0,0.197,0.233,119.954,3,punk-rock
6fqFxZMURYoIglBXTj8Hmc,Noortje Herlaar;Willemijn Verkaik;Carlo Boszhard;Cast - Olaf's Frozen Avontuur,Olaf's Frozen Avontuur (Originele Nederlandstalige Soundtrack),Die tijd van het jaar,29,182653,False,0.615,0.522,6,-6.336,1,0.11,0.729,0.0,0.0819,0.733,132.927,4,disney
4xnWSfISchdKnY5OPJcbNu,Amon Amarth,The Crusher,The Sound Of Eight Hooves,23,290320,False,0.322,0.968,1,-4.983,0,0.0864,1.03e-06,0.765,0.308,0.0366,130.273,4,death-metal
4sYjub31yWSj7eqaNNVtmA,Popcaan,Empire Summer,Ravin,32,195840,False,0.735,0.56,1,-7.162,0,0.361,0.252,0.0,0.309,0.751,99.495,4,j-dance
3NPYT4nilQ6YW1uA8I7orI,Bassnectar;Lafa Taylor,Into the Sun,Speakerbox (feat. Lafa Taylor),53,282272,False,0.507,0.934,8,-2.325,0,0.188,0.00936,0.00175,0.222,0.471,175.954,4,electronic
6xXvAzowcCQmoKdDr1oIFJ,Amber Leigh Irish,Simply Acoustic,2002 - Acoustic,57,145056,False,0.589,0.296,0,-9.335,1,0.083,0.842,0.0,0.0736,0.611,165.799,3,acoustic
7bg7JfJvKgKX1xTn1gGAki,Jimmy Eat World,Mirando las nubes,The Middle,0,166040,False,0.644,0.848,2,-5.385,1,0.0529,0.0358,0.0,0.0676,0.928,162.151,4,emo
0vtR1BWnjKvzs85eqcC5gn,Blastoyz,Parvati Valley,Parvati Valley,44,406153,False,0.577,0.941,1,-6.567,1,0.0551,0.0036,0.697,0.211,0.517,143.016,4,trance
27jkJPgvyy5TXhllhsFHZ6,SDP;FiNCH,Ballermann Hits Party 2023,Kein Bock,0,198533,False,0.882,0.651,9,-6.1,1,0.307,0.0317,0.0,0.583,0.651,134.065,4,reggae
7Me8RESdf2YQRbzIPNouAU,Schyzo,V. Patro,Nebaví,43,237375,True,0.865,0.497,1,-8.465,0,0.242,0.643,2.03e-06,0.111,0.547,87.031,4,emo
4RWj5gBcOP1EJquv1ptLaM,Igor Kwiatkowski,Disney Najwieksze Przeboje (4 Vol.),"Drobnostka - z filmu ""Vaiana - Skarb Oceanu""",20,163880,False,0.787,0.703,5,-9.612,1,0.328,0.246,0.0,0.0351,0.564,135.193,4,disney
6IOyREuOor8IVa0x0fvKfh,NEIKED;Anne-Marie;Latto,Your Perfect Soundtrack,I Just Called,0,150560,False,0.626,0.849,7,-3.662,1,0.123,0.0732,0.0,0.593,0.898,138.997,4,house
7MDwxOvy8omHHqRBch9T3H,Anupam Roy;Iman Chakraborty,Dwitiyo Purush (Original Motion Picture Soundtrack,Je Kawta Din Reprise,42,326040,False,0.49,0.19,7,-10.761,1,0.0324,0.938,0.0018,0.103,0.256,105.926,4,indie-pop
